2026-05-14 15:59:33,511 DEBUG    root            Loaded Command Group: ['gcloud', 'compute']
2026-05-14 15:59:33,514 DEBUG    root            Loaded Command Group: ['gcloud', 'compute', 'instance_templates']
2026-05-14 15:59:33,516 DEBUG    root            Loaded Command Group: ['gcloud', 'compute', 'instance-templates', 'list']
2026-05-14 15:59:33,518 DEBUG    root            Running [gcloud.compute.instance-templates.list] with arguments: [--filter: "name~loadgen", --format: "table(name,creationTimestamp,properties.machineType)", --project: "env-integration-fenway"]
2026-05-14 15:59:33,519 DEBUG    root            On GCE from memory cache: False
2026-05-14 15:59:33,521 DEBUG    root            On GCE from memory cache: False
2026-05-14 15:59:33,628 INFO     root            client_filter=None server_filter='name eq ".*(loadgen).*"'
2026-05-14 15:59:33,629 DEBUG    root            Chosen display Format:    table(
      name,
      properties.machineType.machine_type(),
      properties.scheduling.preemptible.yesno(yes=true, no=''),
      creationTimestamp
    ) table(name,creationTimestamp,properties.machineType)
2026-05-14 15:59:33,629 INFO     root            Display format: "    table(
      name,
      properties.machineType.machine_type(),
      properties.scheduling.preemptible.yesno(yes=true, no=''),
      creationTimestamp
    ) table(name,creationTimestamp,properties.machineType)"
2026-05-14 15:59:33,635 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): compute.googleapis.com:443
2026-05-14 15:59:34,241 DEBUG    urllib3.connectionpool https://compute.googleapis.com:443 "GET /compute/v1/projects/env-integration-fenway/aggregated/instanceTemplates?alt=json&includeAllScopes=True&maxResults=500&returnPartialSuccess=True HTTP/1.1" 200 None
2026-05-14 15:59:34,602 INFO     ___FILE_ONLY___ NAME
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___                         
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ CREATION_TIMESTAMP
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___              
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ MACHINE_TYPE
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ 

2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ artillery-loadgen-tpl
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___        
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ 2026-05-07T16:09:32.130-07:00
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___   
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ custom-24-65536
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ 

2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ artillery-loadgen-tpl-prod
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___   
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ 2026-05-07T17:24:11.381-07:00
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___   
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ custom-24-65536
2026-05-14 15:59:34,603 INFO     ___FILE_ONLY___ 

2026-05-14 15:59:34,612 DEBUG    root            Metrics reporting process started...
